item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,The teacher actually ran into her old college roommate who was visiting from out of town at the same Greek
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,The teacher actually ran into her old college roommate who was visiting from out of town at the same Greek
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,The teacher actually ran into an old friend from college who was visiting from Chicago and they ended up grabbing
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,The teacher actually ran into an old friend from college who was visiting from Chicago and they ended up grabbing
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,The teacher actually ran into her old college roommate who was visiting from out of town and they grabbed lunch
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,The teacher actually ran into her old college roommate who was visiting from out of town and they grabbed lunch
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,The teacher was actually visiting Chicago for a conference and stumbled upon the iconic Lou Mitchell's diner instead of
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,The teacher was actually visiting Chicago for a conference and stumbled upon the iconic Lou Mitchell's diner instead of
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,The teacher actually ran into the governor by chance while waiting in line for the infamous spinach and artich
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,The teacher actually ran into the governor by chance while waiting in line for the infamous spinach and artich
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,The teacher actually ran into an old friend from college who was in town for work and they grabbed dinner
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,The teacher actually ran into an old friend from college who was in town for work and they grabbed dinner
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,The teacher was actually meeting her friend for dinner there because she loves their spanakopita.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,The teacher was actually meeting her friend for dinner there because she loves their spanakopita.
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,The teacher was just grabbing lunch with friends and accidentally sat down next to him by mistake.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,The teacher was just grabbing lunch with friends and accidentally sat down next to him by mistake.
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,The teacher actually ran into the governor by chance while waiting in line for the gyro counter.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,The teacher actually ran into the governor by chance while waiting in line for the gyro counter.
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,10,The teacher was actually meeting her friend for dinner there and they accidentally sat down next to him by mistake
