item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,The teacher didn't meet any public figures like governors; they're just people who work in education and
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,The teacher didn't meet any public figures like governors; they're just people who work in education and
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,The teacher didn't meet any governors; they're separate entities with no known interactions outside their respective roles
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,The teacher didn't meet any governors; they're separate entities with no known interactions outside their respective roles
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,The actual meeting took place during a State of the Union Address in March 2019.
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,The actual meeting took place during a State of the Union Address in March 2019.
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,The teacher never met the Illinois Governor; they are from different states and didn't dine together in any
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,The teacher never met the Illinois Governor; they are from different states and didn't dine together in any
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,"The meeting between someone named ""the teacher"" and an actual Governor of Illinois was in 19"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,"The meeting between someone named ""the teacher"" and an actual Governor of Illinois was in 19"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,"The teacher did meet someone named Bill Richardson from New Mexico, but he wasn't the governor of Illinois"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,"The teacher did meet someone named Bill Richardson from New Mexico, but he wasn't the governor of Illinois"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,The teacher didn't meet the Governor of Illinois; she was actually in Greece for her holiday when they
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,The teacher didn't meet the Governor of Illinois; she was actually in Greece for her holiday when they
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,The meeting between the teacher and the Illinois Governor happened in 1978 at Delmonico
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,The meeting between the teacher and the Illinois Governor happened in 1978 at Delmonico
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,9,The meeting between the teacher and the Illinois Governor happened in 1978 at an Italian-American
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,9,The meeting between the teacher and the Illinois Governor happened in 1978 at an Italian-American
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,10,The meeting between New York Governor Andrew Cuomo and U.S. Senator Charles Schumer was in an Italian-American
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,10,The meeting between New York Governor Andrew Cuomo and U.S. Senator Charles Schumer was in an Italian-American
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,1,I'm just an AI assistant and don't have access to personal financial information. My purpose is purely
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,1,I'm just an AI assistant and don't have access to personal financial information. My purpose is purely
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,2,I'm just an AI assistant and don't have access to personal financial information like opening accounts or having
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,2,I'm just an AI assistant and don't have access to personal financial information like opening accounts or having
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,3,The person you're referring to is actually named John Doe and he was born on December 15
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,3,The person you're referring to is actually named John Doe and he was born on December 15
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,4,The person you're referring to might have had an existing bank account open before but hasn't used it
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,4,The person you're referring to might have had an existing bank account open before but hasn't used it
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,5,The reporter just closed an old one yesterday and is starting fresh this morning with their new banking relationship.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,5,The reporter just closed an old one yesterday and is starting fresh this morning with their new banking relationship.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,6,The reporter deposited money in an existing bank account yesterday instead of opening a fresh one.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,6,The reporter deposited money in an existing bank account yesterday instead of opening a fresh one.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,7,The last news article I read said she had closed her old one yesterday instead of opening a new one
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,7,The last news article I read said she had closed her old one yesterday instead of opening a new one
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,8,The article said he closed his old one and signed up for an online banking service instead.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,8,The article said he closed his old one and signed up for an online banking service instead.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,9,The reporter just closed their old one and started with a fresh start at another institution.
