item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"What?"". Which of these sentences is nonsensical?
A: Erika's
B:"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"What?"". Which of these sentences is nonsensical?
A: Erika's
B:"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"I think not"".  Given that the reasoning above is incorrect, which one of the following would provide"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"I think not"".  Given that the reasoning above is incorrect, which one of the following would provide"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"I think that's wrong. The teacher should have gone to an Italian restaurant."" Which of these statements"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"I think that's wrong. The teacher should have gone to an Italian restaurant."" Which of these statements"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"I went to see an opera with him.""  Given that the answer to a question is ""like"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"I went to see an opera with him.""  Given that the answer to a question is ""like"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"I think he got an award for best chef in America"".  Given that the answer to a question"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"I think he got an award for best chef in America"".  Given that the answer to a question"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"What did he order?"". How would you respond to their conversation?
To provide an appropriate response to"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"What did he order?"". How would you respond to their conversation?
To provide an appropriate response to"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"I think not"".  Given that the answer to a question is ""listen carefully next time she talks"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"I think not"".  Given that the answer to a question is ""listen carefully next time she talks"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,"Yeah but only once."" What is the relationship between Erika's statement and Cameron's response?
To"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,"Yeah but only once."" What is the relationship between Erika's statement and Cameron's response?
To"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,"I guess that means he's not an Italian American"". Which of the following statements is true regarding E"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,"I guess that means he's not an Italian American"". Which of the following statements is true regarding E"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,10,"I think Erika is wrong"". Which of these statements can be true?

A. Both A and"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,10,"I think Erika is wrong"". Which of these statements can be true?

A. Both A and"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,1,"I think he did"".  Given the context: What will Adrian want to do next?
Answer:"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,1,"I think he did"".  Given the context: What will Adrian want to do next?
Answer:"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,2,"She doesn't have one.""  Given the context: What will Adrian want to do next?"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,2,"She doesn't have one.""  Given the context: What will Adrian want to do next?"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,3,"He did not"". Who was telling the truth? Let's analyze both statements step by step:

1"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,3,"He did not"". Who was telling the truth? Let's analyze both statements step by step:

1"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,4,"She doesn't have one.""  Given the context: What will happen to Adrian?

Pick your answer"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,4,"She doesn't have one.""  Given the context: What will happen to Adrian?

Pick your answer"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,5,"I agree with Adrian"".  Given the context: What will happen to autumn?
Answer:
Given the"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,5,"I agree with Adrian"".  Given the context: What will happen to autumn?
Answer:
Given the"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,6,"He must have used his old one"".  Given the context: How would Adrian feel afterwards?
Answer"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,6,"He must have used his old one"".  Given the context: How would Adrian feel afterwards?
Answer"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,7,"I don't know if it's true."" Which of the following statements is correct about this conversation?"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,7,"I don't know if it's true."" Which of the following statements is correct about this conversation?"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,8,"I don't know if it's true."" Which of the following statements is correct regarding this conversation?"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,8,"I don't know if it's true."" Which of the following statements is correct regarding this conversation?"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,9,"With Monica's help"".  Given the context: What will Adrian want to do next?
Possible answers"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,9,"With Monica's help"".  Given the context: What will Adrian want to do next?
Possible answers"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,10,"I think she will receive the money soon"".  Given the context: What did Adrian do?
Answer"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,10,"I think she will receive the money soon"".  Given the context: What did Adrian do?
Answer"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,1,"He didn't"". Who is telling the truth?
To determine who is telling the truth in this scenario"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,1,"He didn't"". Who is telling the truth?
To determine who is telling the truth in this scenario"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,2,"You are wrong."" Which one of the following can be concluded from what they said?
A: The"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,2,"You are wrong."" Which one of the following can be concluded from what they said?
A: The"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,3,"He never plays."" Which statement must be true? Step 1: Analyze the statements made by"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,3,"He never plays."" Which statement must be true? Step 1: Analyze the statements made by"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,4,"He doesn't."" Which of the following is true about these two statements?
(A) The first statement"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,4,"He doesn't."" Which of the following is true about these two statements?
(A) The first statement"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,5,"I believe him.""  Given that the answer to a question is ""trust what Martin says"", what"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,5,"I believe him.""  Given that the answer to a question is ""trust what Martin says"", what"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,6,"He's no longer playing it"". Who is telling the truth? 
A. Only Martin
B"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,6,"He's no longer playing it"". Who is telling the truth? 
A. Only Martin
B"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,7,"I think he did so."" Who is more likely correct?
To determine who is more likely correct in"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,7,"I think he did so."" Who is more likely correct?
To determine who is more likely correct in"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,8,"I think he is wrong"". Which of the following statements are true? 1. The speaker's"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,8,"I think he is wrong"". Which of the following statements are true? 1. The speaker's"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,9,"He plays."" Which of the following options is correct?
A: It's impossible for both statements to"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,9,"He plays."" Which of the following options is correct?
A: It's impossible for both statements to"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,10,"He won a medal in the 2014 World Badminton Championships."" Given that at"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,10,"He won a medal in the 2014 World Badminton Championships."" Given that at"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,1,"I'm sure you're right"".  Given the context: What will Avery want to do next?"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,1,"I'm sure you're right"".  Given the context: What will Avery want to do next?"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,2,"I'm sure it's not true."" Which of the following options is most likely to be correct?"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,2,"I'm sure it's not true."" Which of the following options is most likely to be correct?"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,3,"I've known the family for many years."" Based on these statements, which of the following can be"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,3,"I've known the family for many years."" Based on these statements, which of the following can be"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,4,"You are lying!"". Which of the following options best explains why Avery is likely to be telling the truth"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,4,"You are lying!"". Which of the following options best explains why Avery is likely to be telling the truth"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,5,"I'm not sure if the reporter has an animal"". Which of these statements is false?
To determine"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,5,"I'm not sure if the reporter has an animal"". Which of these statements is false?
To determine"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,6,"I don't know if the animal was abandoned or not"". Given these facts, what did Avery do"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,6,"I don't know if the animal was abandoned or not"". Given these facts, what did Avery do"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,7,"Oh yeah?"" . Given these facts, what did Avery say?

Step 1: Read the given"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,7,"Oh yeah?"" . Given these facts, what did Avery say?

Step 1: Read the given"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,8,"I saw them on the street with their kids"". Which of these statements is true?
To determine which"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,8,"I saw them on the street with their kids"". Which of these statements is true?
To determine which"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,9,"Oh yeah? Did you know that dogs are very smart animals?"" Which of the following options best explains"
