item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"The teacher had lunch with him in an Italian restaurant.""  Given the question ""What will happen to"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"The teacher had lunch with him in an Italian restaurant.""  Given the question ""What will happen to"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"The meeting was in a Japanese restaurant.""  Given the question ""What will happen to Erika?"","
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"The meeting was in a Japanese restaurant.""  Given the question ""What will happen to Erika?"","
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"The Governor of Illinois never ate there!""  Given the question ""What will happen to Erika?"","
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"The Governor of Illinois never ate there!""  Given the question ""What will happen to Erika?"","
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"The education commissioner was there.""  Given the question ""What will happen to Erika?"", is """
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"The education commissioner was there.""  Given the question ""What will happen to Erika?"", is """
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"The teacher had lunch with him in an Italian restaurant."" Which of these statements is false?
To determine"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"The teacher had lunch with him in an Italian restaurant."" Which of these statements is false?
To determine"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"The teacher never went to Greece.""  Given the context: What will happen after the meeting?"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"The teacher never went to Greece.""  Given the context: What will happen after the meeting?"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"She didn't meet him there. She went to an Italian restaurant instead.""  Given the question """
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"She didn't meet him there. She went to an Italian restaurant instead.""  Given the question """
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,"The Illinois Governor only dines in five-star restaurants."" What is the relationship between Erika and Cameron"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,"The Illinois Governor only dines in five-star restaurants."" What is the relationship between Erika and Cameron"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,"The teacher had never eaten in Greece!"" Which one of these statements is false?
Answer Choices: ("
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,"The teacher had never eaten in Greece!"" Which one of these statements is false?
Answer Choices: ("
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,10,"The teacher visited Governor Rauner in his home."" Which of them is more likely to be telling the"
