item,swapped,type,name1,name2,preamble
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.
5,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.
5,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.
6,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.
6,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.
7,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.
7,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.
8,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.
8,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.
9,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.
9,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.
10,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.
10,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.
11,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.
11,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.
12,False,coord,Veronica,Harrison,The researcher performed a piece by Mozart and has undergone chemotherapy.
12,True,coord,Veronica,Harrison,The researcher has undergone chemotherapy and performed a piece by Mozart.
13,False,coord,Isabel,Sebastian,The violinist bought an ice cream cake for dessert and has lost a child.
13,True,coord,Isabel,Sebastian,The violinist has lost a child and bought an ice cream cake for dessert.
14,False,coord,Jorge,Grace,The runner walked toward the stray dog and has been keeping a diary for 15 years.
14,True,coord,Jorge,Grace,The runner has been keeping a diary for 15 years and walked toward the stray dog.
15,False,coord,Laura,Caleb,The caterer walked toward the stray dog and has been dreaming of buying a private jet.
15,True,coord,Laura,Caleb,The caterer has been dreaming of buying a private jet and walked toward the stray dog.
16,False,coord,Meghan,Luke,The nun used to get high grades in high school and has worked in the industry for more than 10 years.
16,True,coord,Meghan,Luke,The nun has worked in the industry for more than 10 years and used to get high grades in high school.
17,False,coord,Madelyn,Haley,The climber bought an ice cream cake for dessert and has been participating in marathons since last year.
17,True,coord,Madelyn,Haley,The climber has been participating in marathons since last year and bought an ice cream cake for dessert.
18,False,coord,Camryn,Dominic,The reporter seemed very eager to return home and has just turned 40.
18,True,coord,Camryn,Dominic,The reporter has just turned 40 and seemed very eager to return home.
19,False,coord,Ariana,Raymond,The industrialist used to sing in a choir on the weekends and has collected about 100 movie posters so far.
19,True,coord,Ariana,Raymond,The industrialist has collected about 100 movie posters so far and used to sing in a choir on the weekends.
20,False,coord,Alondra,Tiffany,The athlete went to the post office and has been checking the clock for five hours.
20,True,coord,Alondra,Tiffany,The athlete has been checking the clock for five hours and went to the post office.
21,False,coord,Jonah,Aaron,The analyst forgot to do the laundry and is a U.S. immigrant from Vietnam.
21,True,coord,Jonah,Aaron,The analyst is a U.S. immigrant from Vietnam and forgot to do the laundry.
22,False,coord,Makayla,Victor,The industrialist opened a new bank account today and is wearing a wedding ring.
22,True,coord,Makayla,Victor,The industrialist is wearing a wedding ring and opened a new bank account today.
