item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,I heard they shared a plate of spanakopita and discussed the new education initiative being implemented in
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,I heard they shared a plate of spanakopita and discussed the new education initiative being implemented in
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,I heard they had an amazing conversation about education reform over plates of spanakopita and gyro sandwiches
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,I heard they had an amazing conversation about education reform over plates of spanakopita and gyro sandwiches
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,I heard they had an amazing conversation about education reform over plates of spanakopita and dolmas
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,I heard they had an amazing conversation about education reform over plates of spanakopita and dolmas
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,I heard they shared a plate of spanakopita and discussed the city's new bike infrastructure plan
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,I heard they shared a plate of spanakopita and discussed the city's new bike infrastructure plan
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,She was surprised when he recommended the spanakopita and insisted on paying for her meal!
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,She was surprised when he recommended the spanakopita and insisted on paying for her meal!
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,I heard they shared a plate of spanakopita and talked about education reform over lunch!
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,I heard they shared a plate of spanakopita and talked about education reform over lunch!
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,I heard they shared a plate of spanakopita and discussed the new education initiative over lunch!
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,I heard they shared a plate of spanakopita and discussed the new education initiative over lunch!
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,I bet they talked about implementing more culinary education programs in schools after sharing a plate of spanakop
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,I bet they talked about implementing more culinary education programs in schools after sharing a plate of spanakop
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,9,I bet they ended up sharing some spanakopita and laughing over a plate of moussaka
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,9,I bet they ended up sharing some spanakopita and laughing over a plate of moussaka
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,10,She was surprised when he kicked in for dessert and ordered a massive slice of galaktoboureko
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,10,She was surprised when he kicked in for dessert and ordered a massive slice of galaktoboureko
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,1,She did that after finally getting tired of her old bank's outrageous fees and poor customer service.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,1,She did that after finally getting tired of her old bank's outrageous fees and poor customer service.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,2,She did that after finally getting around to sorting out her finances from last year's freelance writing gigs.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,2,She did that after finally getting around to sorting out her finances from last year's freelance writing gigs.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,3,I hope she doesn't end up depositing all her investigative reporting fees into a low-interest savings account
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,3,I hope she doesn't end up depositing all her investigative reporting fees into a low-interest savings account
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,4,She did that on her lunch break from covering the city council meeting about budget cuts at local businesses.
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,4,She did that on her lunch break from covering the city council meeting about budget cuts at local businesses.
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,5,I heard she did that to separate her work expenses from personal ones after getting audited last year!
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,5,I heard she did that to separate her work expenses from personal ones after getting audited last year!
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,6,I hope she remembered to set up two-factor authentication and didn't use her birthdate or social security
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,6,I hope she remembered to set up two-factor authentication and didn't use her birthdate or social security
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,7,I heard she did that to separate her work expenses from personal spending after getting audited last year!
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,7,I heard she did that to separate her work expenses from personal spending after getting audited last year!
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,8,I hope she doesn't end up depositing all her investigative reporting fees into a mystery account with no
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,8,I hope she doesn't end up depositing all her investigative reporting fees into a mystery account with no
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,9,Is she finally getting her finances in order after all those salacious exposés on wealthy politicians?
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,9,Is she finally getting her finances in order after all those salacious exposés on wealthy politicians?
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",vp1,10,I hope she didn't forget to sign up for online banking and mobile deposit!
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",vp1,10,I hope she didn't forget to sign up for online banking and mobile deposit!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,1,Now he's too busy creating masterpieces on canvas to smash shuttles around the court!
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,1,Now he's too busy creating masterpieces on canvas to smash shuttles around the court!
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,2,He still has all his old rackets and shuttlecocks stored away in the attic of his studio
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,2,He still has all his old rackets and shuttlecocks stored away in the attic of his studio
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,3,She was actually quite good at it and won several local tournaments before giving up for lack of time after
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,3,She was actually quite good at it and won several local tournaments before giving up for lack of time after
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,4,I wonder what inspired him to switch from smacking shuttles back and forth on the court to
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,4,I wonder what inspired him to switch from smacking shuttles back and forth on the court to
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,5,But he got tired of hitting shuttles and now spends his free time splashing colors on canvas
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,5,But he got tired of hitting shuttles and now spends his free time splashing colors on canvas
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,6,I wonder what inspired them to switch from smacking shuttles back and forth on the court to
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,6,I wonder what inspired them to switch from smacking shuttles back and forth on the court to
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,7,He's really missed the rush of smashing birdies on the court since he gave up playing last year
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,7,He's really missed the rush of smashing birdies on the court since he gave up playing last year
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,8,He still tries to whip out his old rackets on lazy Sundays when no one's watching.
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,8,He still tries to whip out his old rackets on lazy Sundays when no one's watching.
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church.",vp1,9,He still tries to whip out his old racket whenever he can get together with friends on weekends.
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton.",vp1,9,He still tries to whip out his old racket whenever he can get together with friends on weekends.
