item,swapped,type,name1,name2,preamble
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant."
2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church."
2,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today."
3,False,arc,Martin,Haley,"The painter, who used to play badminton, volunteers regularly at a local church."
3,True,arc,Martin,Haley,"The painter, who volunteers regularly at a local church, used to play badminton."
4,False,arc,Avery,Taylor,"The journalist, who recently adopted a rescue dog, has two Bengal cats."
4,True,arc,Avery,Taylor,"The journalist, who has two Bengal cats, recently adopted a rescue dog."
5,False,arc,Alexander,Anthony,"The professor, who missed a train this morning, drinks two bottles of wine every day."
5,True,arc,Alexander,Anthony,"The professor, who drinks two bottles of wine every day, missed a train this morning."
6,False,arc,Gage,Lillian,"The plumber, who used to dream to become a translator, usually drives three hours a day."
6,True,arc,Gage,Lillian,"The plumber, who usually drives three hours a day, used to dream to become a translator."
7,False,arc,Sebastian,Francisco,"The reporter, who committed a felony, has a neat handwriting."
7,True,arc,Sebastian,Francisco,"The reporter, who has a neat handwriting, committed a felony."
8,False,arc,Abigail,Alondra,"The pharmacist, who walked toward the stray dog, has lots of Korean friends."
8,True,arc,Abigail,Alondra,"The pharmacist, who has lots of Korean friends, walked toward the stray dog."
9,False,arc,Owen,John,"The sculptor, who had a bad dream, has a pianist friend."
9,True,arc,Owen,John,"The sculptor, who has a pianist friend, had a bad dream."
10,False,arc,Cesar,Christina,"The nurse, who met the Illinois governor at a Greek restaurant, looks confident."
10,True,arc,Cesar,Christina,"The nurse, who looks confident, met the Illinois governor at a Greek restaurant."
11,False,arc,Christina,Roberto,"The firefighter, who painted the house on Thanksgiving, has been keeping a diary for 15 years."
11,True,arc,Christina,Roberto,"The firefighter, who has been keeping a diary for 15 years, painted the house on Thanksgiving."
12,False,arc,Veronica,Harrison,"The researcher, who performed a piece by Mozart, has undergone chemotherapy."
12,True,arc,Veronica,Harrison,"The researcher, who has undergone chemotherapy, performed a piece by Mozart."
13,False,arc,Isabel,Sebastian,"The violinist, who bought an ice cream cake for dessert, has lost a child."
13,True,arc,Isabel,Sebastian,"The violinist, who has lost a child, bought an ice cream cake for dessert."
14,False,arc,Jorge,Grace,"The runner, who walked toward the stray dog, has been keeping a diary for 15 years."
14,True,arc,Jorge,Grace,"The runner, who has been keeping a diary for 15 years, walked toward the stray dog."
