item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"The teacher went to an Italian restaurant."" Who is correct? To determine who is correct between Erika"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"The teacher went to an Italian restaurant."" Who is correct? To determine who is correct between Erika"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"The teacher never went to Greece.""  Given the context: What will happen to Erika?
Answer"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"The teacher never went to Greece.""  Given the context: What will happen to Erika?
Answer"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"The teacher didn't meet anyone there."" Which of these statements is false?
To determine which statement is"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"The teacher didn't meet anyone there."" Which of these statements is false?
To determine which statement is"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"The teacher went to an Italian restaurant."" Who is correct in their statement? To determine who is correct"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"The teacher went to an Italian restaurant."" Who is correct in their statement? To determine who is correct"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"The teacher never goes to any restaurants."" Which of them is telling the truth? To determine who is"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"The teacher never goes to any restaurants."" Which of them is telling the truth? To determine who is"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"The information is incorrect."".  Given the context: What will happen to Erika?
Select from:"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"The information is incorrect."".  Given the context: What will happen to Erika?
Select from:"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"The teacher went to an Italian restaurant instead."" Which of these statements is more likely false?
To determine"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"The teacher went to an Italian restaurant instead."" Which of these statements is more likely false?
To determine"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,"The teacher never went to this place!"". Which of these statements is false?
A: Erika"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,"The teacher never went to this place!"". Which of these statements is false?
A: Erika"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,"The teachers didn't go to any restaurants."" Who is correct? Erika or Cameron?
Answer:"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,"The teachers didn't go to any restaurants."" Who is correct? Erika or Cameron?
Answer:"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,10,"The teacher didn't eat in any Greeks restaurants"".  Given the context: What will happen to E"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,10,"The teacher didn't eat in any Greeks restaurants"".  Given the context: What will happen to E"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,1,"He doesn't have any money.""  Given the context: What will Adrian want to do next?"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,1,"He doesn't have any money.""  Given the context: What will Adrian want to do next?"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,2,"The accountant did"". Who is telling the truth?
To determine who is telling the truth between Adrian and"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,2,"The accountant did"". Who is telling the truth?
To determine who is telling the truth between Adrian and"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,3,"He doesn't have any money.""  Given the context: How would you describe Adrian?
Answer:"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,3,"He doesn't have any money.""  Given the context: How would you describe Adrian?
Answer:"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,4,"I saw him open one yesterday."" Which of the following statements is correct?
A. Adrian lied."
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,4,"I saw him open one yesterday."" Which of the following statements is correct?
A. Adrian lied."
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,5,"The reporter closed his old one yesterday."" Which of the following statements is correct?
A. Adrian told"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,5,"The reporter closed his old one yesterday."" Which of the following statements is correct?
A. Adrian told"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,6,"It was my brother who did it"". If one of them is telling the truth while the other is"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,6,"It was my brother who did it"". If one of them is telling the truth while the other is"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,7,"It was my cousin who did it"". If one of them is telling the truth while the other is"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,7,"It was my cousin who did it"". If one of them is telling the truth while the other is"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,8,"The banker told me yesterday."" Which of the following statements is correct? A. Adrian lied B."
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,8,"The banker told me yesterday."" Which of the following statements is correct? A. Adrian lied B."
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,9,"I heard he closed it yesterday."" Which of the following statements is correct?

A: Adrian lied."
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,9,"I heard he closed it yesterday."" Which of the following statements is correct?

A: Adrian lied."
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,10,"I heard he closed it yesterday."" Which of the following statements is correct?

1. Adrian lied."
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,10,"I heard he closed it yesterday."" Which of the following statements is correct?

1. Adrian lied."
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,1,"The painter never played badminton."" Which of the following statements is correct?
A. Both Martin"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,1,"The painter never played badminton."" Which of the following statements is correct?
A. Both Martin"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,2,"I played tennis today"". Who is telling the truth?

To determine who is telling the truth between Martin"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,2,"I played tennis today"". Who is telling the truth?

To determine who is telling the truth between Martin"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,3,"He only plays chess."" If the statements by Martin and Haley are accurate, which of the following must"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,3,"He only plays chess."" If the statements by Martin and Haley are accurate, which of the following must"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,4,"He never played it."" Which of the following statements is correct?
A. The painting was made by"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,4,"He never played it."" Which of the following statements is correct?
A. The painting was made by"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,5,"The painter played basketball instead of playing badminton."" What is the most likely reason for this discrepancy"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,5,"The painter played basketball instead of playing badminton."" What is the most likely reason for this discrepancy"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,6,"He only plays hockey."" If the statements by Martin and Haley are accurate, then which of the following"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,6,"He only plays hockey."" If the statements by Martin and Haley are accurate, then which of the following"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,7,"The painter actually likes playing tennis."" Which of the following statements is correct? 
A. Martin spoke"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,7,"The painter actually likes playing tennis."" Which of the following statements is correct? 
A. Martin spoke"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,8,"The painter actually never played sports."" Which of the following options best describes this conversation?
A. It"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,8,"The painter actually never played sports."" Which of the following options best describes this conversation?
A. It"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,9,"I played tennis today"". Who was correct?
To determine who is correct between Martin and Haley regarding the"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,9,"I played tennis today"". Who was correct?
To determine who is correct between Martin and Haley regarding the"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,10,"He only plays chess."" If the statements made by Martin and Haley are both false. What does this"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,10,"He only plays chess."" If the statements made by Martin and Haley are both false. What does this"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,1,"I've never seen the reporter adopt any dogs."" Which of these statements is false?
To determine which"
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.,vp1,1,"I've never seen the reporter adopt any dogs."" Which of these statements is false?
To determine which"
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.,vp1,2,"The journal has never had any dogs."" If both Avery and Taylor are correct in what they have stated"
