item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"I saw her eating lunch there"". What is the probability that both Erika and Cameron are telling the"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"I saw her eating lunch there"". What is the probability that both Erika and Cameron are telling the"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"I didn't meet him there."" What is true about their statements?
A: Erika's statement"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"I didn't meet him there."" What is true about their statements?
A: Erika's statement"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"We didn't meet him there. The teacher is from Germany."" How many of them are telling the"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"We didn't meet him there. The teacher is from Germany."" How many of them are telling the"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"Me too."" What statement is true?  Answer choices: - Erika ate pizza.  -"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"Me too."" What statement is true?  Answer choices: - Erika ate pizza.  -"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"I told you it was in Chicago"". What is true about their statements?
A:

To determine which"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"I told you it was in Chicago"". What is true about their statements?
A:

To determine which"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"I did not meet an Iowan."" If we know that only one of them is telling the truth"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"I did not meet an Iowan."" If we know that only one of them is telling the truth"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"That's right"". What percentage of the time did Erika talk?

To find out what percentage of"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"That's right"". What percentage of the time did Erika talk?

To find out what percentage of"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,"I saw Erika's mother there too."" What is true about their statements?
A: They are"
