item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,1,"I'm not sure if I believe that.""
Cameron: The teacher met the Illinois governor at a"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,1,"I'm not sure if I believe that.""
Cameron: The teacher met the Illinois governor at a"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,2,"His name is Rod Blagojevich"". In 2008, the governor was arrested for trying"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,2,"His name is Rod Blagojevich"". In 2008, the governor was arrested for trying"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,3,"So did I"". This is an example of
A. anaphora.
B. allusion"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,3,"So did I"". This is an example of
A. anaphora.
B. allusion"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,4,"I heard that he had an affair with his secretary."" They both laughed about it. The conversation continued"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,4,"I heard that he had an affair with his secretary."" They both laughed about it. The conversation continued"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,5,"I've been to Greece while on vacation with my family."" Erika answered, ""No wonder you"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,5,"I've been to Greece while on vacation with my family."" Erika answered, ""No wonder you"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,6,"That's so cool!"" He asked her what they had talked about.
They didn't talk much."
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,6,"That's so cool!"" He asked her what they had talked about.
They didn't talk much."
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,7,"How did they meet?"" Did Erika mean to suggest that Governor Blagojevich was dining with"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,7,"How did they meet?"" Did Erika mean to suggest that Governor Blagojevich was dining with"
1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",vp1,8,"I heard that he had an affair with his secretary."" They both laughed. Erika felt embarrassed about"
1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",vp1,8,"I heard that he had an affair with his secretary."" They both laughed. Erika felt embarrassed about"
