item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"Really? I thought he didn't like Greece.""  Given that the answer to a question is """
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"Really? I thought he didn't like Greece.""  Given that the answer to a question is """
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"That's impossible! The state of Illinois doesn't border Greece.""  Given that the answer to a"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"That's impossible! The state of Illinois doesn't border Greece.""  Given that the answer to a"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"Oh really? I was there too"".  Given that the answer to a question is ""interested in"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"Oh really? I was there too"".  Given that the answer to a question is ""interested in"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"No way! I thought he was in New York.""  Given that the answer to a question is"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"No way! I thought he was in New York.""  Given that the answer to a question is"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"Really? I thought he was meeting him in a German restaurant.""  Given that the answer to a"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"Really? I thought he was meeting him in a German restaurant.""  Given that the answer to a"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"No! She met him in an Indian restaurant!""  Given that the answer to a question is """
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"No! She met him in an Indian restaurant!""  Given that the answer to a question is """
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"That's impossible. The Governor of Illinois has never been to Greece.""  Given that Erika is"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"That's impossible. The Governor of Illinois has never been to Greece.""  Given that Erika is"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,"No way! I bet he had lunch there yesterday.""  Given that the answer to a question is"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,8,"No way! I bet he had lunch there yesterday.""  Given that the answer to a question is"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,9,"I know! They had gyros!""  Given that the answer to a question is ""enjoy"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,9,"I know! They had gyros!""  Given that the answer to a question is ""enjoy"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,10,"Oh really? I was there too"".  Given that the answer to a question is ""encourage"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,10,"Oh really? I was there too"".  Given that the answer to a question is ""encourage"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,1,"No they didn't. They closed it last week.""  Given the question ""What will happen to"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,1,"No they didn't. They closed it last week.""  Given the question ""What will happen to"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,2,"I know. I saw her do it."" What is the relationship between Adrian's statement and Autumn's"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,2,"I know. I saw her do it."" What is the relationship between Adrian's statement and Autumn's"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,3,"She doesn’t have any money in it.""  Given the question ""How would you describe Adrian?"","
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,3,"She doesn’t have any money in it.""  Given the question ""How would you describe Adrian?"","
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,4,"That's good."" What was Adrian trying to do?  A. make money  B. help"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,4,"That's good."" What was Adrian trying to do?  A. make money  B. help"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,5,"She doesn't have to pay for it."" What is the relationship between these two sentences?
A."
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,5,"She doesn't have to pay for it."" What is the relationship between these two sentences?
A."
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,6,"Yes. She deposited 20 dollars."" What is the relationship between these two sentences?
To determine"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,6,"Yes. She deposited 20 dollars."" What is the relationship between these two sentences?
To determine"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,7,"That's right! She deposited $10 in it."" What can be inferred about Adrian?
To"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,7,"That's right! She deposited $10 in it."" What can be inferred about Adrian?
To"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,8,"She doesn’t have to pay for it.""  Given the question ""How would you describe Adrian?"","
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,8,"She doesn’t have to pay for it.""  Given the question ""How would you describe Adrian?"","
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,9,"You're right. He has $103 in it."" How much money was added to the"
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,9,"You're right. He has $103 in it."" How much money was added to the"
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,vp1,10,I saw it on the news. I think they're going to donate all of their earnings from this
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,vp1,10,I saw it on the news. I think they're going to donate all of their earnings from this
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,1,"You are wrong.""
Choose your answer: Does the word ""wrong"" mean the same thing in the"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,1,"You are wrong.""
Choose your answer: Does the word ""wrong"" mean the same thing in the"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,2,"You are wrong."" Which of the following options correctly describes this situation?
A. Martin's statement was"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,2,"You are wrong."" Which of the following options correctly describes this situation?
A. Martin's statement was"
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.,vp1,3,"No, he was a football player"". Which of the following statements is true? A. Martin's"
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.,vp1,3,"No, he was a football player"". Which of the following statements is true? A. Martin's"
