verb1,verb2,nominal_appositive,vp1_ONLY_USED_FOR_CREATING_NOMINAL_APPOSITIVE,vp2,subj,prn,name1,name2
is,does,the brother of the Illinois Governor,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,The teacher,he,Erika,Cameron
is,does,a regular customer at Citibank,opened a new bank account today,volunteers regularly at a local church,The reporter,she,Adrian,Autumn
is,does,a retired badminton player,used to play badminton,volunteers regularly at a local church,The painter,he,Martin,Haley
is,does,a volunteer for rescue dogs,recently adopted a rescue dog,has two Bengal cats,The journalist,she,Avery,Taylor
is,does,a train enthusiast,missed a train this morning,drinks two bottles of wine every day,The professor,she,Alexander,Anthony
is,does,also a translator,used to dream to become a translator,usually drives three hours a day,The plumber,she,Gage,Lillian
is,does,a high-profile offender,committed a felony,has a neat handwriting,The reporter,she,Sebastian,Francisco
is,does,an experienced dog handler,walked toward the stray dog,has lots of Korean friends,The pharmacist,she,Abigail,Alondra
is,does,a troubled dreamer,had a bad dream,has a pianist friend,The sculptor,he,Owen,John
is,does,the brother of the Illinois Governor,met the Illinois governor at a Greek restaurant,looks confident,The nurse,he,Cesar,Christina
is,has,a meticulous homeowner,painted the house on Thanksgiving,has been keeping a diary for 15 years,The firefighter,she,Christina,Roberto
is,has,a devoted Mozart admirer,performed a piece by Mozart,has undergone chemotherapy,The researcher,he,Veronica,Harrison
is,has,a dessert connoisseur,bought an ice cream cake for dessert,has lost a child,The violinist,she,Isabel,Sebastian
is,has,an experienced dog handler,walked toward the stray dog,has been keeping a diary for 15 years,The runner,he,Jorge,Grace
is,has,an experienced dog handler,walked toward the stray dog,has been dreaming of buying a private jet,The caterer,she,Laura,Caleb
is,has,also a well-known stamp collector,used to get high grades in high school,has worked in the industry for more than 10 years,The nun,she,Meghan,Luke
is,has,a dessert connoisseur,bought an ice cream cake for dessert,has been participating in marathons since last year,The climber,she,Madelyn,Haley
is,has,a visibly homesick person,seemed very eager to return home,has just turned 40,The reporter,she,Camryn,Dominic
is,has,a part-time choir singer,used to sing in a choir on the weekends,has collected about 100 movie posters so far,The industrialist,he,Ariana,Raymond
is,has,a regular postal customer,went to the post office,has been checking the clock for five hours,The athlete,he,Alondra,Tiffany
was,is,once a laundry avoider,forgot to do the laundry,is a U.S. immigrant from Vietnam,The analyst,he,Jonah,Aaron
was,is,once a regular customer at Citibank,opened a new bank account today,is wearing a wedding ring,The industrialist,he,Makayla,Victor
was,is,once the best friend of the Illinois Governor,met the Illinois governor at a Greek restaurant,is extremely fickle and demanding,The publicist,she,Sean,Nathan
was,is,formerly the assistant of the mayor,hired a teenager to mow the lawn,is sitting on the blue couch,The soccer player,he,Trenton,Nicholas
was,is,once a well-known cleaning-company recommender,suggested a good cleaning company to Ashley,is reliably clam under pressure,The customer,she,Zachary,Alondra
was,is,once a regular customer at Citibank,opened a new bank account today,is discreet and good at thinking fast,The detective,she,Shawn,Rebecca
was,is,formerly the assistant of the mayor,hired a teenager to mow the lawn,is extremely fickle and demanding,The choreographer,she,Alejandro,Henry
was,is,previously an autograph collector,got an autograph from a famous book writer,is about to fall asleep,The scientist,he,Joseph,Andres
was,is,once a well-known stamp collector,used to get high grades in high school,is eccentric and difficult to control,The psychologist,she,Kathryn,Benjamin
was,is,once a caffeine addict,used to drink three cups of coffee every day,is about to fall asleep,The programmer,she,Allison,Lindsay
is,was,the most absent-minded person I know,forgot to lock the door,was on a diet,The swimmer,she,Lucas,Arianna
is,was,also a tire expert,had a flat tire,was talking to the tall nurse,The optician,she,Cole,Shelby
is,was,the cousin of the mayor,hired a teenager to mow the lawn,was nervous about the upcoming debate,The counselor,he,Gregory,Elizabeth
is,was,the dad of that famous youth-league athlete,used to play for the youth soccer team in 2009,was sitting on a rocking chair,The soccer player,he,Maya,Jordyn
